Black,000000
Navy,000080
Dark Blue,00008B
Duke Blue,00009C
Medium Blue,0000CD
Blue,0000FF
Phthalo Blue,000F89
Cetacean Blue,001440
Dark Imperial Blue,00147E
Zaffre,0014A8
Blue (Pantone),0018A8
Maastricht Blue,001C3D
Oxford Blue,002147
Royal Blue,002366
Resolution Blue,002387
Imperial Blue,002395
Cool Black,002E63
International Klein Blue,002FA7
Air Force Blue (USAF),00308F
Prussian Blue,003153
Dark Midnight Blue,003366
Smalt (Dark Powder Blue),003399
UA Blue,0033AA
Philippine Blue,0038A7
Royal Azure,0038A8
Ateneo Blue,003A6C
Rich Black,004040
Dark Imperial Blue,00416A
British Racing Green,004225
Warm Black,004242
Midnight Blue,00468C
Cobalt Blue,0047AB
Absolute Zero,0048BA
Midnight Green (Eagle Green),004953
Deep Jungle Green,004B49
USAFA Blue,004F98
Castleton Green,00563F
Dark Green (X11),006400
Pakistan Green,006600
Philippine Sky Blue,0066FF
Medium Persian Blue,0067A5
Sea Blue,006994
Bangladesh Green,006A4E
Cadmium Green,006B3C
Honolulu Blue,006DB0
Dartmouth Green,00703C
Spanish Blue,0070B8
Brandeis Blue,0070FF
French Blue,0072BB
True Blue,0073CF
Skobeloff,007474
Christmas Green,007502
Tropical Rain Forest,00755E
Ocean Boat Blue,0077BE
CG Blue,007AA5
Cerulean,007BA7
Star Command Blue,007BB8
Spanish Viridian,007F5C
Generic Viridian,007F66
Azure,007FFF
Office Green,008000
Green,008001
Teal,008080
Teal Green,00827F
Neon Dark Green,008443
Philippine Green,008543
Blue (NCS),0087BD
Blue Cola,0088DC
Dark Cyan,008B8B
Islamic Green,009000
Spanish Green,009150
Blue (Munsell),0093AF
Cinderella Blue,0093FF
Bondi Blue,0095B6
Viridian Green,009698
Green-Cyan,009966
Paolo Veronese Green,009B7D
Shamrock Green,009E60
Green (NCS),009F6B
Green (Pigment),00A550
Persian Green,00A693
Jade,00A86B
Green (Munsell),00A877
Vivid Cerulean,00AAEE
GO Green,00AB66
Green (Pantone),00AD43
Cyan (Process),00B7EB
Blue Bolt,00B9FB
Deep Sky Blue,00BFFF
Amazonite,00C4B0
Turquoise Surf,00C5CD
Vivid Malachite,00CC33
Caribbean Green,00CC99
Robin Egg Blue,00CCCC
Vivid Sky Blue,00CCFF
Dark Turquoise,00CED1
Medium Spring Green,00FA9A
Neon Cyan,00FEFC
Electric Green,00FF00
Spring Green,00FF7F
Sea Green (Crayola),00FFCD
Turquoise Blue,00FFEF
Cyan,00FFFF
Rich Black (FOGRA39),010203
Rich Black (FOGRA29),010B13
Dark Green,013220
Forest Green (Traditional),014421
Pine Green,01796F
Blue (RYB),0247FE
Medium Electric Blue,035096
Medium Green,037949
Dark Pastel Green,03C03C
Sacramento State Green,043927
Emerald Green,046307
Deep Green,056608
North Texas Green,059033
Catalina Blue,062A78
Blue-Green (Color Wheel),064E40
Vampire Black,080808
Dark Cerulean,08457E
La Salle Green,087830
Rich Electric Blue,0892D0
Bright Turquoise,08E8DE
Indigo Dye,091F92
Cadmium Blue,0A1195
Metallic Seaweed,0A7E8C
Tiffany Blue,0ABAB5
Malachite,0BDA51
Blue-Green,0D98BA
Deep Green-Cyan Turquoise,0E7C61
Yale Blue,0F4D92
Sapphire,0F52BA
Spiro Disco Ball,0FC0FC
Smoky Black,100C08
Egyptian Blue,1034A6
Green-Blue,1164B4
Phthalo Green,123524
Blue Sapphire,126180
Royal Green,136207
India Green,138808
Neon Green,139B42
Chinese Black,141414
Deep Blue,15047A
Denim,1560BD
Lotion Blue,15F2FD
Fluorescent Blue,15F4EE
Dark Spring Green,177245
Salem,177B4D
MSU Green,18453B
Verse Green,18880D
Cyan Cornflower Blue,188BC2
Midnight Blue,191970
Lincoln Green,195905
Bright Navy Blue,1974D2
Licorice,1A1110
Dark Jungle Green,1A2421
Neon Blue,1B03A3
Black Chocolate,1B1811
Eerie Black,1B1B1B
Brunswick Green,1B4D3E
Bluebonnet,1C1CF0
Yankees Blue,1C2841
Medium Jungle Green,1C352D
Persian Blue,1C39BB
Pacific Blue,1CA9C9
Green (Crayola),1CAC78
Space Cadet,1D2951
Bright Cerulean,1DACD6
Cal Poly Pomona Green,1E4D2B
Dodger Blue,1E90FF
Dark Gunmetal,1F262A
Blue (Crayola),1F75FE
Light Sea Green,20B2AA
New Car,214FC6
Ball Blue,21ABCD
Denim Blue,2243B6
Forest Green (Web),228B22
St. Patrick's Blue,23297A
Charleston Green,232B2B
Indigo (Rainbow),233067
Raisin Black,242124
Celtic Blue,246BCE
Button Blue,24A0ED
Black Leather Jacket,253529
Dark Cornflower Blue,26428B
Japanese Indigo,264348
Lapis Lazuli,26619C
Palatinate Blue,273BE2
Cyan Cobalt Blue,28589C
Green-Blue (Crayola),2887C8
Root Beer,290E05
Metallic Green,296E01
Slimy Green,299617
Jungle Green,29AB87
Pine Tree,2A2F23
Gunmetal,2A3439
Cerulean Blue,2A52BE
Napier Green,2A8000
Christmas Blue,2A8FBD
Zinnwaldite Brown,2C1608
Outer Space (Crayola),2D383A
Cosmic Cobalt,2E2D88
YInMn Blue,2E5090
B'dazzled Blue,2E5894
Sea Green,2E8B57
Dark Slate Gray,2F4F4F
Japanese Laurel,2F7532
Celadon Green,2F847C
Dark Purple,301934
Mughal Green,306030
Yellow-Green (Color Wheel),30B21A
Mountain Meadow,30BA8F
Maximum Blue Green,30BFBF
Myrtle Green,317873
Bleu De France,318CE7
Illuminating Emerald,319177
Persian Indigo,32127A
Russian Violet,32174D
Violet-Blue,324AB2
Metallic Blue,32527B
Lime Green,32CD32
Deep Violet,330066
Dark Charcoal,333333
Deep Koamaru,333366
Blue (Pigment),333399
Brilliant Azure,3399FF
Jet,343434
Wageningen Green,34B233
American Green,34B334
Onyx,353839
Kombu Green,354230
Deep Moss Green,355E3B
Interdimensional Blue,360CCC
Chocolate Black,362F25
Charcoal,36454F
Christmas Blue,365194
Ming,36747D
Teal Blue,367588
Police Blue,374F6B
Pixie Powder,391285
American Bronze,391802
Neon Green,39FF14
Moonstone,3AA8C1
Keppel,3AB09E
Black Coffee,3B2F2F
Pullman Green,3B331C
American Blue,3B3B6D
Black Olive,3B3C36
Zeus,3B3C38
Arsenic,3B444B
Amazon,3B7A57
Dark Chocolate (Hershey's),3C1321
Dark Sienna,3C1414
Chocolate Kisses,3C1421
Deep Purple,3C1F4D
Temptress,3C2126
Cola,3C3024
Olive Drab #7,3C341F
Christmas Green,3C8D0D
Medium Sea Green,3CB371
UFO Green,3CD070
Black Bean,3D0C02
Bistre,3D2B1F
Jacarta,3D325D
Tufts Blue,3E8EDE
Mint,3EB489
Chocolate Brown,3F000F
Vampire Violet,3F0073
Electric Ultramarine,3F00FF
Vampire Purple,3F2161
Eclipse,3F3939
